traj_id,coordinates
0,"[[116.318726  40.009014]
 [116.315102  40.004784]
 [116.315018  40.002842]
 [116.315041  39.998585]
 [116.315605  39.992554]
 [116.315735  39.987846]
 [116.313332  39.985687]
 [116.305832  39.985264]
 [116.298225  39.98381 ]
 [116.300819  39.977249]
 [116.305977  39.970459]
 [116.307533  39.963829]
 [116.307411  39.959034]
 [116.310738  39.957153]
 [116.316505  39.956985]
 [116.320061  39.956863]
 [116.322777  39.956833]
 [116.331802  39.957325]
 [116.334541  39.957516]
 [116.339546  39.957878]
 [116.34227   39.958008]]"
1,"[[116.356354  39.948452]
 [116.355301  39.954418]
 [116.355087  39.957588]
 [116.353012  39.958111]
 [116.344582  39.958138]]"
2,"[[116.334274  39.969093]
 [116.333923  39.976101]
 [116.333725  39.978642]
 [116.333527  39.983753]
 [116.33316   39.985542]
 [116.332794  39.987934]
 [116.332275  39.992329]
 [116.332642  39.994217]
 [116.332939  39.993046]
 [116.332909  39.990627]
 [116.332962  39.988277]
 [116.33474   39.986065]
 [116.343765  39.986305]
 [116.353134  39.986526]
 [116.353905  39.979324]
 [116.353218  39.970886]
 [116.35334   39.962292]
 [116.355484  39.952454]
 [116.356224  39.944725]
 [116.355553  39.935837]
 [116.355301  39.932716]
 [116.361778  39.932247]
 [116.365585  39.932175]
 [116.36734   39.932316]]"
3,"[[116.343887  39.929737]
 [116.343842  39.927731]
 [116.34407   39.923794]
 [116.344521  39.921539]
 [116.344772  39.912254]
 [116.343788  39.908165]
 [116.342857  39.904736]
 [116.342216  39.900196]
 [116.342201  39.898029]
 [116.336052  39.897495]
 [116.329926  39.897259]
 [116.329254  39.894157]
 [116.325928  39.892677]
 [116.326363  39.888199]
 [116.326828  39.884239]
 [116.32663   39.88192 ]]"
4,"[[116.321037  39.905369]
 [116.321083  39.901878]
 [116.323547  39.899872]
 [116.326935  39.900043]
 [116.328735  39.897652]
 [116.327652  39.893429]
 [116.325928  39.892094]
 [116.331459  39.890045]
 [116.337708  39.889912]
 [116.343826  39.889301]
 [116.348549  39.884953]
 [116.348396  39.87957 ]
 [116.351067  39.877678]]"
5,"[[116.350914  39.871239]
 [116.354126  39.86924 ]
 [116.359222  39.868446]
 [116.369049  39.869804]
 [116.38002   39.87072 ]
 [116.392982  39.871471]
 [116.408325  39.871922]
 [116.413406  39.870342]
 [116.413689  39.866589]
 [116.413864  39.863087]
 [116.414032  39.85881 ]
 [116.414413  39.855652]
 [116.414536  39.853256]
 [116.414764  39.843971]]"
6,"[[116.415154  39.856808]
 [116.419518  39.856934]
 [116.42939   39.858345]
 [116.432487  39.858906]
 [116.431831  39.861408]
 [116.432083  39.859226]
 [116.437546  39.85878 ]
 [116.442551  39.858986]
 [116.453346  39.861813]
 [116.46096   39.868786]
 [116.461327  39.882633]
 [116.463799  39.884369]
 [116.466644  39.884396]
 [116.472908  39.884392]
 [116.476479  39.884331]
 [116.479988  39.884354]
 [116.490501  39.882587]]"
7,"[[116.461761  39.92038 ]
 [116.461418  39.920624]
 [116.46244   39.913216]
 [116.461632  39.904243]
 [116.461517  39.893898]
 [116.461067  39.888332]
 [116.461189  39.884403]
 [116.460991  39.874805]]"
8,"[[116.46199   39.871319]
 [116.471924  39.871258]
 [116.47683   39.871273]
 [116.484581  39.871223]
 [116.498215  39.87093 ]
 [116.512672  39.87048 ]
 [116.525948  39.869854]
 [116.5401    39.86927 ]]"
10,"[[116.505127  39.905796]
 [116.501633  39.905407]
 [116.496323  39.905331]
 [116.490814  39.905563]
 [116.489487  39.910114]
 [116.48037   39.908512]
 [116.477943  39.908543]
 [116.468941  39.908371]
 [116.464371  39.908535]
 [116.461845  39.915314]
 [116.461647  39.925743]
 [116.461212  39.931675]
 [116.457993  39.928551]]"
12,"[[116.218163  39.96373 ]
 [116.220131  39.974186]
 [116.221245  39.984547]
 [116.222313  39.991848]
 [116.223259  39.994423]
 [116.223106  39.996403]]"
14,"[[116.374191  39.769337]
 [116.37677   39.760391]
 [116.403091  39.762566]
 [116.416962  39.766556]
 [116.424065  39.774601]
 [116.428635  39.783855]
 [116.459274  39.791328]
 [116.468857  39.798492]
 [116.477005  39.807053]
 [116.489288  39.81398 ]]"
15,"[[116.530708  39.852581]
 [116.530365  39.855026]
 [116.537666  39.849041]
 [116.540161  39.847782]
 [116.536591  39.840443]
 [116.527069  39.833298]
 [116.520195  39.828213]
 [116.515144  39.824429]
 [116.510429  39.821766]
 [116.497025  39.816856]
 [116.48735   39.813347]
 [116.480453  39.810505]
 [116.475288  39.805691]
 [116.47921   39.802311]
 [116.480675  39.800007]
 [116.481712  39.798363]
 [116.482811  39.796619]
 [116.484039  39.794708]
 [116.488441  39.789398]
 [116.492378  39.784447]
 [116.488228  39.78241 ]]"
17,"[[116.50264   39.802288]
 [116.499985  39.805645]
 [116.497078  39.809006]
 [116.493927  39.813049]
 [116.500435  39.817951]
 [116.498795  39.824043]
 [116.489075  39.832169]
 [116.48008   39.840763]
 [116.471657  39.848831]
 [116.46312   39.856129]
 [116.456108  39.862526]
 [116.458931  39.86573 ]
 [116.455887  39.868191]
 [116.45607   39.87038 ]
 [116.459946  39.871834]
 [116.461189  39.878666]
 [116.461441  39.888149]
 [116.461548  39.898796]
 [116.461815  39.908234]
 [116.461632  39.917877]
 [116.4617    39.926327]
 [116.4618    39.934917]
 [116.462029  39.946239]
 [116.464607  39.950119]
 [116.467964  39.956879]
 [116.466125  39.959637]
 [116.462784  39.95681 ]]"
18,"[[116.458183  39.948814]
 [116.452309  39.947872]
 [116.4468    39.9501  ]
 [116.442001  39.949604]
 [116.43882   39.947132]
 [116.435295  39.944843]
 [116.433052  39.949322]
 [116.423126  39.949577]
 [116.412445  39.949238]
 [116.401169  39.949074]
 [116.389893  39.948994]
 [116.38002   39.949017]
 [116.372604  39.948887]
 [116.372131  39.947052]
 [116.370216  39.946777]]"
19,"[[116.540474  39.941544]
 [116.542534  39.933189]
 [116.543159  39.922321]
 [116.543922  39.911591]
 [116.545815  39.900845]
 [116.547676  39.890713]
 [116.547989  39.866116]
 [116.544464  39.846313]
 [116.533913  39.838474]
 [116.526268  39.832783]
 [116.514786  39.824249]
 [116.506081  39.821232]
 [116.506706  39.817841]
 [116.512535  39.811291]
 [116.518692  39.806244]
 [116.523476  39.801044]
 [116.529419  39.802231]]"
20,"[[116.512634  39.801376]
 [116.508865  39.806023]
 [116.506592  39.808849]
 [116.500443  39.806313]
 [116.495682  39.810669]
 [116.496353  39.816467]
 [116.507286  39.820152]
 [116.500618  39.82275 ]
 [116.490456  39.830868]
 [116.481873  39.839008]
 [116.473206  39.847389]
 [116.463486  39.855846]
 [116.456108  39.862343]
 [116.460892  39.868557]
 [116.461121  39.877129]
 [116.461342  39.886238]
 [116.461624  39.891895]
 [116.461861  39.894779]]"
21,"[[116.444572  39.874966]
 [116.439194  39.870728]
 [116.41938   39.871605]
 [116.421585  39.866131]
 [116.421967  39.858612]
 [116.415848  39.857422]
 [116.414215  39.855167]
 [116.414581  39.848309]
 [116.414803  39.843487]
 [116.415016  39.838806]
 [116.415154  39.836727]]"
22,"[[116.398346  39.791897]
 [116.398109  39.796234]
 [116.395393  39.80241 ]
 [116.39016   39.803398]
 [116.383133  39.803226]
 [116.377357  39.804958]
 [116.372551  39.808327]
 [116.365921  39.813515]
 [116.36618   39.821358]
 [116.368591  39.827869]
 [116.366615  39.831379]
 [116.352646  39.831131]
 [116.338753  39.830826]
 [116.32502   39.830631]
 [116.311775  39.830605]
 [116.298203  39.830624]
 [116.287453  39.834721]
 [116.284004  39.844765]
 [116.282951  39.858444]
 [116.282349  39.868355]
 [116.276993  39.879539]
 [116.271309  39.880997]
 [116.264626  39.882469]
 [116.260727  39.88588 ]
 [116.253609  39.886024]
 [116.252876  39.8895  ]]"
23,"[[116.1996    39.924641]
 [116.208046  39.924522]
 [116.210228  39.923668]
 [116.211525  39.918808]
 [116.21077   39.910072]
 [116.212021  39.90741 ]
 [116.215584  39.907391]
 [116.224419  39.907394]]"
26,"[[116.305763  39.941559]
 [116.30439   39.937695]
 [116.302536  39.934261]
 [116.301331  39.931313]
 [116.301216  39.928215]]"
27,"[[116.290848  39.923985]
 [116.298447  39.923943]
 [116.306984  39.923824]
 [116.310669  39.92448 ]
 [116.310249  39.929169]
 [116.310303  39.937302]
 [116.312019  39.941071]
 [116.320267  39.939068]
 [116.325172  39.938663]]"
28,"[[116.324135  39.951763]
 [116.323502  39.955982]
 [116.322792  39.960537]
 [116.321526  39.966328]
 [116.31617   39.965519]
 [116.308922  39.96307 ]
 [116.307617  39.96632 ]
 [116.307228  39.969685]]"
